Country,Inhabitants,IDHI
Chine,1 425 893 465,"0,651"
Inde,1 407 563 842,"0,475"
États-Unis,336 997 624,"0,819"
Indonésie,273 753 191,"0,585"
Pakistan,231 402 117,"0,380"
Brésil,214 326 223,"0,576"
Nigeria,213 401 323,"0,341"
Bangladesh,169 356 251,"0,503"
Russie,145 102 755,"0,751"
Mexique,126 705 138,"0,621"
Japon,124 612 530,"0,850"
Éthiopie,120 283 026,"0,363"
Philippines,113 880 328,"0,574"
Égypte,109 262 178,"0,519"
Viêt Nam,97 468 029,"0,602"
République démocratique du Congo,95 894 118,"0,341"
Iran,87 923 432,"0,686"
Turquie,84 775 404,"0,717"
Allemagne,83 408 554,"0,883"
Thaïlande,71 601 103,"0,686"
Royaume-Uni,67 281 039,"0,850"
France,64 531 444,"0,825"
Tanzanie,63 588 334,"0,418"
Afrique du Sud,59 392 255,"0,471"
Italie,59 240 329,"0,791"
Birmanie,53 798 084,None
Kenya,53 005 614,"0,426"
Corée du Sud,51 830 139,"0,838"
Colombie,51 516 562,"0,589"
Espagne,47 486 935,"0,788"
Ouganda,45 853 778,"0,396"
Soudan,45 657 202,"0,336"
Argentine,45 276 780,"0,720"
Algérie,44 177 969,"0,598"
Irak,43 533 592,"0,554"
Ukraine,43 531 422,"0,726"
Afghanistan,40 099 462,None
Pologne,38 307 726,"0,816"
Canada,38 155 012,"0,860"
Maroc,37 076 584,"0,504"
Arabie saoudite,35 950 396,None
Angola,34 503 774,"0,407"
Ouzbékistan,34 081 449,None
Pérou,33 715 471,"0,635"
Malaisie,33 573 874,None
Yémen,32 981 641,"0,307"
Ghana,32 833 031,"0,458"
Mozambique,32 077 072,"0,300"
Népal,30 034 989,"0,449"
Madagascar,28 915 653,"0,367"
Venezuela,28 199 867,"0,592"
Côte d'Ivoire,27 478 249,"0,358"
Cameroun,27 198 628,"0,393"
Corée du Nord,25 971 909,None
Australie,25 921 089,"0,876"
Niger,25 252 722,"0,292"
Taïwan,23 859 912,None
Burkina Faso,22 100 683,"0,315"
Mali,21 904 983,"0,291"
Sri Lanka,21 773 441,"0,676"
Syrie,21 324 367,None
Malawi,19 889 742,"0,377"
Chili,19 493 184,"0,722"
Zambie,19 473 125,"0,390"
Roumanie,19 328 560,"0,733"
Kazakhstan,19 196 465,"0,755"
Équateur,17 797 737,None
Guatemala,17 608 483,"0,460"
Pays-Bas,17 501 696,"0,878"
Tchad,17 179 740,"0,251"
Somalie,17 065 581,None
Sénégal,16 876 720,"0,354"
Cambodge,16 589 023,"0,479"
Zimbabwe,15 993 524,"0,458"
Guinée,13 531 906,"0,299"
Rwanda,13 461 888,"0,402"
Bénin,12 996 895,"0,334"
Burundi,12 551 213,"0,302"
Tunisie,12 262 946,"0,588"
Bolivie,12 079 472,"0,549"
Belgique,11 611 419,"0,874"
Haïti,11 447 569,"0,327"
Cuba,11 256 372,None
Jordanie,11 148 278,"0,617"
République dominicaine,11 117 873,"0,618"
Soudan du Sud,10 748 272,"0,245"
Tchéquie,10 510 751,"0,850"
Suède,10 467 097,"0,885"
Grèce,10 445 365,"0,791"
Azerbaïdjan,10 312 992,"0,685"
Portugal,10 290 103,"0,773"
Honduras,10 278 345,"0,479"
Papouasie-Nouvelle-Guinée,9 949 437,"0,397"
Tadjikistan,9 750 064,"0,599"
Hongrie,9 709 786,"0,792"
Biélorussie,9 578 167,"0,765"
Émirats arabes unis,9 365 145,None
Autriche,8 922 082,"0,851"
Israël,8 900 059,"0,815"
Suisse,8 691 406,"0,894"
Togo,8 644 829,"0,372"
Sierra Leone,8 420 641,"0,309"
Hong Kong,7 494 578,None
Laos,7 425 057,"0,459"
Serbie,7 296 769,"0,720"
Bulgarie,6 885 868,"0,701"
Nicaragua,6 850 540,"0,516"
Libye,6 735 277,None
Paraguay,6 703 799,"0,582"
Kirghizistan,6 527 743,"0,627"
Turkménistan,6 341 855,"0,619"
Salvador,6 314 167,"0,548"
Singapour,5 941 060,"0,817"
Danemark,5 854 240,"0,898"
République du Congo,5 835 806,"0,432"
Liban,5 592 631,None
Finlande,5 535 992,"0,890"
République centrafricaine,5 457 154,"0,240"
Slovaquie,5 447 622,"0,803"
Norvège,5 403 021,"0,908"
Liberia,5 193 416,"0,330"
Costa Rica,5 153 957,"0,664"
Palestine,5 133 392,None
Nouvelle-Zélande,5 129 727,"0,865"
Irlande,4 986 526,None
Mauritanie,4 614 974,"0,389"
Oman,4 520 471,"0,708"
Panama,4 351 267,"0,640"
Koweït,4 250 114,None
Croatie,4 060 135,"0,797"
Géorgie,3 757 980,None
Érythrée,3 620 312,None
Uruguay,3 426 260,"0,710"
Mongolie,3 347 782,"0,644"
Bosnie-Herzégovine,3 270 943,"0,677"
Porto Rico,3 256 028,None
Moldavie,3 061 506,"0,711"
Albanie,2 854 710,"0,710"
Jamaïque,2 827 695,"0,591"
Arménie,2 790 974,"0,688"
Lituanie,2 786 651,"0,800"
Qatar,2 688 235,None
Gambie,2 639 916,"0,348"
Botswana,2 588 423,None
Namibie,2 530 151,"0,402"
Gabon,2 341 179,"0,554"
Lesotho,2 281 454,"0,372"
Slovénie,2 119 410,"0,878"
Macédoine du Nord,2 103 330,"0,686"
Guinée-Bissau,2 060 721,"0,306"
Lettonie,1 873 919,"0,792"
Kosovo,1 662 009,None
Guinée équatoriale,1 634 466,None
Trinité-et-Tobago,1 525 663,None
Bahreïn,1 463 265,None
Estonie,1 328 701,"0,829"
Timor oriental,1 320 942,"0,440"
Maurice,1 298 915,None
Chypre,1 244 188,None
Eswatini,1 192 271,"0,424"
Djibouti,1 105 557,None
La Réunion,966 129,None
Fidji,924 610,None
Comores,821 625,None
Guyana,804 567,"0,591"
Bhoutan,777 486,"0,471"
Îles Salomon,707 851,None
Macao,686 607,None
Luxembourg,639 321,"0,850"
Monténégro,627 859,"0,756"
Suriname,612 985,"0,532"
Cap-Vert,587 925,None
Malte,565 581,"0,849"
Maldives,526 748,"0,594"
Brunei,521 457,None
Bahamas,445 373,None
Belize,407 906,"0,535"
Guadeloupe,400 031,None
Islande,396 051,"0,915"
Martinique,370 335,None
Vanuatu,368 796,None
Mayotte,319 137,None
Polynésie française,316 014,None
Guyane,304 032,None
Nouvelle-Calédonie,297 449,None
Barbade,287 800,"0,657"
Sao Tomé-et-Principe,281 200,"0,503"
Samoa,223 107,"0,613"
Curaçao,218 764,None
Sainte-Lucie,190 338,"0,559"
Guam,179 651,None
Kiribati,170 534,"0,516"
Grenade,128 874,None
États fédérés de Micronésie,124 610,None
Jersey,113 131,None
Aruba,109 618,None
Seychelles,106 537,"0,661"
Tonga,106 471,"0,666"
Saint-Vincent-et-les-Grenadines,106 017,None
Îles Vierges des États-Unis,104 332,None
Îles Vierges des États-Unis,100 091,None
Antigua-et-Barbuda,93 219,None
Île de Man,84 263,None
Andorre,79 034,None
Dominique,72 412,None
Îles Caïmans,68 136,None
Bermudes,64 185,None
Guernesey,63 065,None
Groenland,56 243,None
Îles Féroé,52 889,None
Îles Mariannes du Nord,49 481,None
Saint-Christophe-et-Niévès,47 606,None
Îles Turques-et-Caïques,45 114,None
Samoa américaines,45 035,None
Saint-Martin,44 042,None
Îles Marshall,42 050,None
Liechtenstein,39 039,None
Monaco,36 686,None
Saint-Marin,33 745,None
Gibraltar,32 669,None
Saint-Martin,31 948,None
Îles Vierges britanniques,31 122,None
Pays-Bas caribéens,26 706,None
Palaos,18 024,None
Îles Cook,17 003,None
Anguilla,15 753,None
Nauru,12 511,None
Wallis-et-Futuna,11 627,None
Tuvalu,11 204,"0,541"
Saint-Barthélemy,10 861,None
Saint-Pierre-et-Miquelon,5 883,None
"Sainte-Hélène, Ascension et Tristan da Cunha",5 404,None
Montserrat,4 417,None
Malouines,3 764,None
Niue,1 937,None
Tokelau,1 849,None
Vatican,511,None
